Ward number,Region,Suburbs
77,A,"Ivory Park Ext 9, 12 & 13 Thulani Section, Chris Hani, OR Thambo Settlement, Dimpho HaniSection, Rolihlahla Section, Albert Luthuli Section, Ebuhleni Section, Lethabong Section"
78,A,"Ivory Park Ext 5, 6 & 8 Limpopo Section, Ramaphosa Section, Sakhile Section, Moses Kotane Section, Tokyo Section, Mafelandawonye Section 2, Jacob Zuma Section, Mpumalanga Section"
79,A,"Ivory Park Mafelandawonye 1 & 3, Baghdad, Lusaka Kwa Green 1, 2 & 3, Lindelani, Park Section, Mbona Section, KwaKhosa, KwaEveline, KwaRonie, Thabo Mbeki"
80,A,"Rabie Ridge Ext 1, 4 & 5 New Hani Section, Chris Hani Informal Settlement, Sophia Town Informal Settlement K60 Informal Settleme"
92,A,"Randjespark, Halfway House Estates , Halfway House, Glen Austin, Kaalfontein 4b, 7b, 22, 23 & 25 Randjesfontein, Allandale"
93,A,"Lonehill, Sunninghill, Paulshof, Magaliessig, Magalies View, Brecknock, Blue Haven, Airdin, Fourways, Kildrummy AH, Zevenfontein 407 JR,Rietfontein"
94,A,"Witpoort 406 -JR, Kyalami AH, Kyalami Park, Glenferness AH, Lonehill, Beverley, Witkoppen, Fourways, Palmlands AH, Treesbank AH, Kleve AH, Blue Hills,"
95,A,"Diepsloot West Reception Area Ext 1, Diepsloot West Ext.2, Diepsloot A.H"
96,A,"Dainfern, Chartwell AH, North Champagne Estates, Tirong, Trevallyn, Kengies, Millgate Farm AH, Farmall AH, Inadan AH, Riverbend AH, Kyasand, Trevallyn AH, Lanseria, Broadacres, Sunrella AH, Bultfontein, Mostyn Park, Riverside View, Diepsloot, Northern Farm, Steyn City, Nietgedacht"
110,A,"Halfway House, Halfway House Estates, President Park, Rabie Ridge Ext 1, Rabie Ridge Ext 2, Commercia Ext 34, Austin View, Glen Austin A.H Ext 3"
111,A,"Ebony Park Ext 2,3,4,5,6, Kaalfontein Extension 1, 4a and 7a, and Ivory Park Extension 10"
112,A,"Blue Hills AH, Blue Hills, Blue Hills 397 -JR, Country View, Summerset, Diepsloot 388 -JR, Erand AH, Erand Gardens, Halfway Gardens, Midridge Park, Noordwyk, Crescentwood, Sagewood, Carlswald North, Erand AH, Erand Gardens, Erand Gardens ext 48, Halfway house ext 2, Noordwyk"
113,A,"Diepsloot West Extensions 3,4,5,6,7,8,9,10 &11; Diepsloot West Informal Settlements, Diepsloot AH"
132,A,"Carlswald A.H, Crowthorne A.H, Halfway Gardens, Halfway House Estate, Vorna Valley, Barbeque Downs, Leeuwkop Prison, Plooysville AH, Waterfall City, Country Lifestyle Village, Waterfall Equestrian Estate, Kyalami Glen, Kyalami Hills"
133,A,"Section of Ivory Park Ext. 8,9,10 and 12"
